WWW Tide and Current Predictor				
Oakland	"Airport," San Francisco "Bay,"	California			
29 March 2018 - 4 April	2018		
								
								
Year	Month 	Day 	Hours 	Minutes 	Seconds	tidal elevation (m)		
2018	3	30	21	0	0	0.668527		
2018	3	30	21	10	0	0.740796		
2018	3	30	21	20	0	0.814549		
2018	3	30	21	30	0	0.889699		
2018	3	30	21	40	0	0.96566		
2018	3	30	21	50	0	1.042336		
2018	3	30	22	0	0	1.119113		
2018	3	30	22	10	0	1.195871		
2018	3	30	22	20	0	1.271966		
2018	3	30	22	30	0	1.347236		
2018	3	30	22	40	0	1.421126		
2018	3	30	22	50	0	1.49307		
2018	3	30	23	0	0	1.562839		
2018	3	30	23	10	0	1.629721		
2018	3	30	23	20	0	1.693445		
2018	3	30	23	30	0	1.753298		
2018	3	30	23	40	0	1.808974		
2018	3	30	23	50	0	1.85979		
2018	3	31	0	0	0	1.905422		
2018	3	31	0	10	0	1.945248		
2018	3	31	0	20	0	1.978953		
2018	3	31	0	30	0	2.006013		
2018	3	31	0	40	0	2.026147		
2018	3	31	0	50	0	2.038968		
2018	3	31	1	0	0	2.044257		
2018	3	31	1	10	0	2.041891		
2018	3	31	1	20	0	2.031971		
2018	3	31	1	30	0	2.014457		
2018	3	31	1	40	0	1.989328		
2018	3	31	1	50	0	1.95677		
2018	3	31	2	0	0	1.916857		
2018	3	31	2	10	0	1.869983		
2018	3	31	2	20	0	1.816424		
2018	3	31	2	30	0	1.756484		
2018	3	31	2	40	0	1.690851		
2018	3	31	2	50	0	1.619853		
2018	3	31	3	0	0	1.544342		
2018	3	31	3	10	0	1.464865		
2018	3	31	3	20	0	1.381987		
2018	3	31	3	30	0	1.296734		
2018	3	31	3	40	0	1.20959		
2018	3	31	3	50	0	1.121639		
2018	3	31	4	0	0	1.033528		
2018	3	31	4	10	0	0.945901		
2018	3	31	4	20	0	0.859832		
2018	3	31	4	30	0	0.775784		
2018	3	31	4	40	0	0.694763		
2018	3	31	4	50	0	0.617304		
2018	3	31	5	0	0	0.543918		
2018	3	31	5	10	0	0.475428		
2018	3	31	5	20	0	0.412118		
2018	3	31	5	30	0	0.354652		
2018	3	31	5	40	0	0.3033		
2018	3	31	5	50	0	0.258301		
2018	3	31	6	0	0	0.220046		
2018	3	31	6	10	0	0.188577		
2018	3	31	6	20	0	0.164099		
2018	3	31	6	30	0	0.146587		
2018	3	31	6	40	0	0.136		
2018	3	31	6	50	0	0.132288		
2018	3	31	7	0	0	0.13546		
2018	3	31	7	10	0	0.145532		
2018	3	31	7	20	0	0.162251		
2018	3	31	7	30	0	0.185324		
2018	3	31	7	40	0	0.214373		
2018	3	31	7	50	0	0.249142		
2018	3	31	8	0	0	0.289213		
2018	3	31	8	10	0	0.334199		
2018	3	31	8	20	0	0.383701		
2018	3	31	8	30	0	0.437317		
2018	3	31	8	40	0	0.494642		
2018	3	31	8	50	0	0.55527		
2018	3	31	9	0	0	0.618801		
2018	3	31	9	10	0	0.684836		
2018	3	31	9	20	0	0.75298		
2018	3	31	9	30	0	0.822727		
2018	3	31	9	40	0	0.893918		
2018	3	31	9	50	0	0.966052		
2018	3	31	10	0	0	1.03874		
2018	3	31	10	10	0	1.11159		
2018	3	31	10	20	0	1.184205		
2018	3	31	10	30	0	1.256182		
2018	3	31	10	40	0	1.327109		
2018	3	31	10	50	0	1.396567		
2018	3	31	11	0	0	1.464125		
2018	3	31	11	10	0	1.529344		
2018	3	31	11	20	0	1.591678		
2018	3	31	11	30	0	1.650879		
2018	3	31	11	40	0	1.706387		
2018	3	31	11	50	0	1.757746		
2018	3	31	12	0	0	1.804506		
2018	3	31	12	10	0	1.846226		
2018	3	31	12	20	0	1.882482		
2018	3	31	12	30	0	1.912874		
2018	3	31	12	40	0	1.937029		
2018	3	31	12	50	0	1.954612		
2018	3	31	13	0	0	1.965332		
2018	3	31	13	10	0	1.968947		
2018	3	31	13	20	0	1.965485		
2018	3	31	13	30	0	1.955039		
2018	3	31	13	40	0	1.937524		
2018	3	31	13	50	0	1.913014		
2018	3	31	14	0	0	1.881509		
2018	3	31	14	10	0	1.843266		
2018	3	31	14	20	0	1.798382		
2018	3	31	14	30	0	1.747301		
2018	3	31	14	40	0	1.690214		
2018	3	31	14	50	0	1.627744		
2018	3	31	15	0	0	1.560175		
2018	3	31	15	10	0	1.488283		
2018	3	31	15	20	0	1.412431		
2018	3	31	15	30	0	1.333521		
2018	3	31	15	40	0	1.251973		
2018	3	31	15	50	0	1.168777		
2018	3	31	16	0	0	1.084385		
2018	3	31	16	10	0	0.999827		
2018	3	31	16	20	0	0.915564		
2018	3	31	16	30	0	0.832617		
2018	3	31	16	40	0	0.751426		
2018	3	31	16	50	0	0.672959		
2018	3	31	17	0	0	0.597609		
2018	3	31	17	10	0	0.526246		
2018	3	31	17	20	0	0.459197		
2018	3	31	17	30	0	0.3972		
2018	3	31	17	40	0	0.340497		
2018	3	31	17	50	0	0.289668		
2018	3	31	18	0	0	0.244865		
2018	3	31	18	10	0	0.206496		
2018	3	31	18	20	0	0.174618		
2018	3	31	18	30	0	0.149463		
2018	3	31	18	40	0	0.131003		
2018	3	31	18	50	0	0.1193		
2018	3	31	19	0	0	0.114252		
2018	3	31	19	10	0	0.115862		
2018	3	31	19	20	0	0.124208		
2018	3	31	19	30	0	0.139056		
2018	3	31	19	40	0	0.160193		
2018	3	31	19	50	0	0.187305		
2018	3	31	20	0	0	0.220014		
2018	3	31	20	10	0	0.258083		
2018	3	31	20	20	0	0.301033		
2018	3	31	20	30	0	0.348638		
2018	3	31	20	40	0	0.400461		
2018	3	31	20	50	0	0.456032		
2018	3	31	21	0	0	0.515165		
2018	3	31	21	10	0	0.577403		
2018	3	31	21	20	0	0.642273		
2018	3	31	21	30	0	0.709633		
2018	3	31	21	40	0	0.779022		
2018	3	31	21	50	0	0.849974		
2018	3	31	22	0	0	0.922373		
2018	3	31	22	10	0	0.995754		
2018	3	31	22	20	0	1.069643		
2018	3	31	22	30	0	1.143926		
2018	3	31	22	40	0	1.218114		
2018	3	31	22	50	0	1.291711		
2018	3	31	23	0	0	1.364569		
2018	3	31	23	10	0	1.436164		
2018	3	31	23	20	0	1.505964		
2018	3	31	23	30	0	1.573766		
2018	3	31	23	40	0	1.639009		
2018	3	31	23	50	0	1.701132		
2018	4	1	0	0	0	1.759874		
2018	4	1	0	10	0	1.814569		
2018	4	1	0	20	0	1.864925		
2018	4	1	0	30	0	1.910378		
2018	4	1	0	40	0	1.950407		
2018	4	1	0	50	0	1.984703		
2018	4	1	1	0	0	2.012781		
2018	4	1	1	10	0	2.034225		
2018	4	1	1	20	0	2.048765		
2018	4	1	1	30	0	2.056064		
2018	4	1	1	40	0	2.055946		
2018	4	1	1	50	0	2.048567		
2018	4	1	2	0	0	2.033872		
2018	4	1	2	10	0	2.011867		
2018	4	1	2	20	0	1.982513		
2018	4	1	2	30	0	1.945945		
2018	4	1	2	40	0	1.902423		
2018	4	1	2	50	0	1.852055		
2018	4	1	3	0	0	1.795336		
2018	4	1	3	10	0	1.732475		
2018	4	1	3	20	0	1.664031		
2018	4	1	3	30	0	1.590664		
2018	4	1	3	40	0	1.512716		
2018	4	1	3	50	0	1.430951		
2018	4	1	4	0	0	1.346203		
2018	4	1	4	10	0	1.258905		
2018	4	1	4	20	0	1.169951		
2018	4	1	4	30	0	1.08026		
2018	4	1	4	40	0	0.990303		
2018	4	1	4	50	0	0.901155		
2018	4	1	5	0	0	0.813276		
2018	4	1	5	10	0	0.727556		
2018	4	1	5	20	0	0.644845		
2018	4	1	5	30	0	0.565531		
2018	4	1	5	40	0	0.490384		
2018	4	1	5	50	0	0.420089		
2018	4	1	6	0	0	0.354921		
2018	4	1	6	10	0	0.295454		
2018	4	1	6	20	0	0.242156		
2018	4	1	6	30	0	0.19516		
2018	4	1	6	40	0	0.154806		
2018	4	1	6	50	0	0.121321		
2018	4	1	7	0	0	0.094697		
2018	4	1	7	10	0	0.075064		
2018	4	1	7	20	0	0.062332		
2018	4	1	7	30	0	0.056461		
2018	4	1	7	40	0	0.057377		
2018	4	1	7	50	0	0.065161		
2018	4	1	8	0	0	0.079595		
2018	4	1	8	10	0	0.100388		
2018	4	1	8	20	0	0.127169		
2018	4	1	8	30	0	0.159672		
2018	4	1	8	40	0	0.197486		
2018	4	1	8	50	0	0.240222		
2018	4	1	9	0	0	0.28748		
2018	4	1	9	10	0	0.338768		
2018	4	1	9	20	0	0.393849		
2018	4	1	9	30	0	0.452238		
2018	4	1	9	40	0	0.513533		
2018	4	1	9	50	0	0.577232		
2018	4	1	10	0	0	0.643156		
2018	4	1	10	10	0	0.710819		
2018	4	1	10	20	0	0.779844		
2018	4	1	10	30	0	0.849857		
2018	4	1	10	40	0	0.92037		
2018	4	1	10	50	0	0.991247		
2018	4	1	11	0	0	1.062001		
2018	4	1	11	10	0	1.13226		
2018	4	1	11	20	0	1.201531		
2018	4	1	11	30	0	1.269661		
2018	4	1	11	40	0	1.336145		
2018	4	1	11	50	0	1.400586		
2018	4	1	12	0	0	1.462581		
2018	4	1	12	10	0	1.521628		
2018	4	1	12	20	0	1.577511		
2018	4	1	12	30	0	1.62972		
2018	4	1	12	40	0	1.677846		
2018	4	1	12	50	0	1.72149		
2018	4	1	13	0	0	1.760203		
2018	4	1	13	10	0	1.793745		
2018	4	1	13	20	0	1.821701		
2018	4	1	13	30	0	1.843756		
2018	4	1	13	40	0	1.85961		
2018	4	1	13	50	0	1.869079		
2018	4	1	14	0	0	1.871945		
2018	4	1	14	10	0	1.868195		
2018	4	1	14	20	0	1.857855		
2018	4	1	14	30	0	1.840878		
2018	4	1	14	40	0	1.817375		
2018	4	1	14	50	0	1.787438		
2018	4	1	15	0	0	1.751247		
2018	4	1	15	10	0	1.708976		
2018	4	1	15	20	0	1.661079		
2018	4	1	15	30	0	1.607866		
2018	4	1	15	40	0	1.549773		
2018	4	1	15	50	0	1.487294		
2018	4	1	16	0	0	1.420856		
2018	4	1	16	10	0	1.351275		
2018	4	1	16	20	0	1.279068		
2018	4	1	16	30	0	1.204895		
2018	4	1	16	40	0	1.129306		
2018	4	1	16	50	0	1.053254		
2018	4	1	17	0	0	0.977313		
2018	4	1	17	10	0	0.902178		
2018	4	1	17	20	0	0.828411		
2018	4	1	17	30	0	0.756927		
2018	4	1	17	40	0	0.688232		
2018	4	1	17	50	0	0.622926		
2018	4	1	18	0	0	0.561564		
2018	4	1	18	10	0	0.504558		
2018	4	1	18	20	0	0.452553		
2018	4	1	18	30	0	0.405843		
2018	4	1	18	40	0	0.364761		
2018	4	1	18	50	0	0.32952		
2018	4	1	19	0	0	0.300446		
2018	4	1	19	10	0	0.277617		
2018	4	1	19	20	0	0.261114		
2018	4	1	19	30	0	0.250958		
2018	4	1	19	40	0	0.247111		
2018	4	1	19	50	0	0.24962		
2018	4	1	20	0	0	0.258544		
2018	4	1	20	10	0	0.273686		
2018	4	1	20	20	0	0.294809		
2018	4	1	20	30	0	0.321585		
2018	4	1	20	40	0	0.353798		
2018	4	1	20	50	0	0.391078		
2018	4	1	21	0	0	0.433076		
2018	4	1	21	10	0	0.47935		
2018	4	1	21	20	0	0.529683		
2018	4	1	21	30	0	0.583627		
2018	4	1	21	40	0	0.640805		
2018	4	1	21	50	0	0.700842		
2018	4	1	22	0	0	0.763262		
2018	4	1	22	10	0	0.827903		
2018	4	1	22	20	0	0.894299		
2018	4	1	22	30	0	0.96209		
2018	4	1	22	40	0	1.030917		
2018	4	1	22	50	0	1.100309		
2018	4	1	23	0	0	1.170137		
2018	4	1	23	10	0	1.239927		
2018	4	1	23	20	0	1.309314		
2018	4	1	23	30	0	1.377813		
2018	4	1	23	40	0	1.445271		
2018	4	1	23	50	0	1.511185		
2018	4	2	0	0	0	1.575156		
2018	4	2	0	10	0	1.636776		
2018	4	2	0	20	0	1.69553		
2018	4	2	0	30	0	1.751188		
2018	4	2	0	40	0	1.803218		
2018	4	2	0	50	0	1.851186		
2018	4	2	1	0	0	1.894595		
2018	4	2	1	10	0	1.93316		
2018	4	2	1	20	0	1.966396		
2018	4	2	1	30	0	1.993905		
2018	4	2	1	40	0	2.015318		
2018	4	2	1	50	0	2.030277		
2018	4	2	2	0	0	2.038529		
2018	4	2	2	10	0	2.039818		
2018	4	2	2	20	0	2.034337		
2018	4	2	2	30	0	2.022078		
2018	4	2	2	40	0	2.002966		
2018	4	2	2	50	0	1.976982		
2018	4	2	3	0	0	1.944235		
2018	4	2	3	10	0	1.904723		
2018	4	2	3	20	0	1.858677		
2018	4	2	3	30	0	1.806342		
2018	4	2	3	40	0	1.748032		
2018	4	2	3	50	0	1.684127		
2018	4	2	4	0	0	1.615068		
2018	4	2	4	10	0	1.541357		
2018	4	2	4	20	0	1.463549		
2018	4	2	4	30	0	1.382385		
2018	4	2	4	40	0	1.298235		
2018	4	2	4	50	0	1.21191		
2018	4	2	5	0	0	1.124113		
2018	4	2	5	10	0	1.035564		
2018	4	2	5	20	0	0.94699		
2018	4	2	5	30	0	0.859117		
2018	4	2	5	40	0	0.772663		
2018	4	2	5	50	0	0.688323		
2018	4	2	6	0	0	0.606903		
2018	4	2	6	10	0	0.528762		
2018	4	2	6	20	0	0.454631		
2018	4	2	6	30	0	0.385054		
2018	4	2	6	40	0	0.32052		
2018	4	2	6	50	0	0.261459		
2018	4	2	7	0	0	0.208239		
2018	4	2	7	10	0	0.161164		
2018	4	2	7	20	0	0.120471		
2018	4	2	7	30	0	0.086384		
2018	4	2	7	40	0	0.058895		
2018	4	2	7	50	0	0.038109		
2018	4	2	8	0	0	0.024012		
2018	4	2	8	10	0	0.016529		
2018	4	2	8	20	0	0.015552		
2018	4	2	8	30	0	0.021157		
2018	4	2	8	40	0	0.033163		
2018	4	2	8	50	0	0.051333		
2018	4	2	9	0	0	0.075344		
2018	4	2	9	10	0	0.104803		
2018	4	2	9	20	0	0.139449		
2018	4	2	9	30	0	0.178793		
2018	4	2	9	40	0	0.222578		
2018	4	2	9	50	0	0.270351		
2018	4	2	10	0	0	0.321628		
2018	4	2	10	10	0	0.376188		
2018	4	2	10	20	0	0.433561		
2018	4	2	10	30	0	0.493263		
2018	4	2	10	40	0	0.555117		
2018	4	2	10	50	0	0.618661		
2018	4	2	11	0	0	0.683426		
2018	4	2	11	10	0	0.749275		
2018	4	2	11	20	0	0.815757		
2018	4	2	11	30	0	0.882418		
2018	4	2	11	40	0	0.94914		
2018	4	2	11	50	0	1.015475		
2018	4	2	12	0	0	1.080978		
2018	4	2	12	10	0	1.145526		
2018	4	2	12	20	0	1.208665		
2018	4	2	12	30	0	1.269951		
2018	4	2	12	40	0	1.329236		
2018	4	2	12	50	0	1.385973		
2018	4	2	13	0	0	1.439995		
2018	4	2	13	10	0	1.490852		
2018	4	2	13	20	0	1.538116		
2018	4	2	13	30	0	1.581599		
2018	4	2	13	40	0	1.620884		
2018	4	2	13	50	0	1.655594		
2018	4	2	14	0	0	1.685542		
2018	4	2	14	10	0	1.710389		
2018	4	2	14	20	0	1.729856		
2018	4	2	14	30	0	1.743794		
2018	4	2	14	40	0	1.751992		
2018	4	2	14	50	0	1.75432		
2018	4	2	15	0	0	1.750699		
2018	4	2	15	10	0	1.741121		
2018	4	2	15	20	0	1.725582		
2018	4	2	15	30	0	1.704177		
2018	4	2	15	40	0	1.677047		
2018	4	2	15	50	0	1.644394		
2018	4	2	16	0	0	1.606477		
2018	4	2	16	10	0	1.563612		
2018	4	2	16	20	0	1.516171		
2018	4	2	16	30	0	1.464576		
2018	4	2	16	40	0	1.409298		
2018	4	2	16	50	0	1.350852		
2018	4	2	17	0	0	1.289788		
2018	4	2	17	10	0	1.226687		
2018	4	2	17	20	0	1.162154		
2018	4	2	17	30	0	1.09681		
2018	4	2	17	40	0	1.031284		
2018	4	2	17	50	0	0.966206		
2018	4	2	18	0	0	0.902305		
2018	4	2	18	10	0	0.839973		
2018	4	2	18	20	0	0.779901		
2018	4	2	18	30	0	0.722648		
2018	4	2	18	40	0	0.668731		
2018	4	2	18	50	0	0.618629		
2018	4	2	19	0	0	0.572774		
2018	4	2	19	10	0	0.531547		
2018	4	2	19	20	0	0.495275		
2018	4	2	19	30	0	0.46423		
2018	4	2	19	40	0	0.438627		
2018	4	2	19	50	0	0.418622		
2018	4	2	20	0	0	0.404316		
2018	4	2	20	10	0	0.395753		
2018	4	2	20	20	0	0.392927		
2018	4	2	20	30	0	0.395906		
2018	4	2	20	40	0	0.404726		
2018	4	2	20	50	0	0.419227		
2018	4	2	21	0	0	0.439206		
2018	4	2	21	10	0	0.464423		
2018	4	2	21	20	0	0.494609		
2018	4	2	21	30	0	0.529464		
2018	4	2	21	40	0	0.568673		
2018	4	2	21	50	0	0.611899		
2018	4	2	22	0	0	0.658797		
2018	4	2	22	10	0	0.709012		
2018	4	2	22	20	0	0.762096		
2018	4	2	22	30	0	0.817863		
2018	4	2	22	40	0	0.875865		
2018	4	2	22	50	0	0.935744		
2018	4	2	23	0	0	0.997139		
2018	4	2	23	10	0	1.059696		
2018	4	2	23	20	0	1.12306		
2018	4	2	23	30	0	1.186876		
2018	4	2	23	40	0	1.250792		
2018	4	2	23	50	0	1.314453		
2018	4	3	0	0	0	1.3775		
2018	4	3	0	10	0	1.439573		
2018	4	3	0	20	0	1.500306		
2018	4	3	0	30	0	1.559231		
2018	4	3	0	40	0	1.616166		
2018	4	3	0	50	0	1.670628		
